rules\CVE-2012-0158.yar
*syntax Error*
rules\detect_generic_maliciousness_BROAD_SCAN.yar
*syntax Error*
rules\detect_obfuscation.yar
*syntax Error*
rules\detect_phpmailer.yar
No Detect
rules\detect_small_malicios.yar
*syntax Error*
rules\detect_small_uploader.yar
No Detect
rules\detect_webshell.yar
*unicode decode error*
rules\sql_inject_file_upload.yar
No Detect
rules\test.yar
Detect num :  158
Detect :  {'data': 'cmd', 'offset': 31492, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 32510, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 239993, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 240111, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 247115, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 247275, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 247773, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 247922, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 255667, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 255769, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 262853, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 263042, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 270825, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 271200, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 271606, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 274043, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 278113, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 278198, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 285155, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 285917, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 285991, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 293666, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 293763, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 301551, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 301635, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 308844, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 310578, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 310676, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 318011, 'identifier': '$a', 'flags': 27}
